rand_point_id,x,y
"107",837786.061575334,821962.175768319
"108",838546.31606864,823099.082019024
"109",839409.532994275,822151.004248849
"110",839740.108843275,822970.514720029
"111",837323.206620458,822772.761828055
"112",840530.498628219,821794.017773626
"113",838354.514607109,823181.068466964
"114",838593.247248108,822655.081489355
"115",840559.914294559,822191.380141106
"116",839643.160569857,822646.552164999
"117",840711.006596163,822721.174128431
"118",837840.266176334,822862.606638355
"119",839485.551131547,822577.143301704
"120",839639.499207486,822890.763061242
"121",837398.383544294,822987.103225799
"122",838004.055430158,822629.628172008
"123",838962.147575797,821844.479485734
"124",840168.696425468,823073.798955494
"125",838280.181050851,822717.423655219
"126",838746.539071653,822155.264187894
"127",840868.540657157,822894.678007029
"128",840771.356222418,823173.604680594
"129",838222.458184499,822221.155334296
"130",839741.658080115,823248.98832525
"131",840487.762044,822025.57705883
"132",840791.248155998,824129.474515413
"133",840601.162360323,821971.290274924
"134",839696.978611376,823014.165502198
"135",840872.044351486,822829.078768789
"136",839307.450352072,823840.357275736
"137",839220.481508377,822953.988473933
"138",837773.661539612,823267.908675159
"139",839958.165528771,822781.175091619
"140",838811.558949495,822130.045024598
"141",837510.89579751,822564.856618476
"142",838086.793098356,823708.177136878
"143",840100.915452735,822231.80253274
"144",840399.564231283,821859.187902569
"145",840694.428198239,824052.951811277
"146",839335.824275356,821626.750915679
"147",840669.706547966,822784.329181164
"148",840745.266432608,824038.615959855
"149",840236.841868322,823400.51876481
"150",837224.811847438,822447.346875559
"151",840899.690838614,821750.27756323
"152",840519.05627799,821959.093510059
"153",837534.632570726,822940.601128293
"154",837563.08305458,822395.270874809
"155",839473.553576832,821936.924159167
"156",838454.980336282,821970.957351461
"157",840328.823172356,824071.019982111
"158",840426.559431801,823225.295547474
"159",839043.421009687,823629.007406172
"160",837120.24954601,822267.326974471
"161",837989.896747086,823512.746379514
"162",840593.917425991,821899.355622541
"163",840817.855549533,823309.814073217
"164",837958.995388733,822039.574272922
"165",840035.260486736,822676.305236808
"166",837751.944045955,822212.127802064
"167",837676.3963003,821847.189848042
"168",840812.420402688,822564.996067445
"169",840388.421185679,821831.643843191
"170",836733.258768699,823317.348797726
"171",840726.844701344,823821.339326339
"172",839711.704998706,823311.18180742
"173",836753.780067864,823017.349126736
"174",837175.020333842,823204.557603331
"175",840579.960866795,821713.728267536
"176",840571.717580458,823490.181774918
"177",839597.998346947,822740.2468138
"178",841060.667904525,822158.526144075
"179",840516.009719224,821862.518502685
"180",837413.538350195,822040.063520098
"181",840784.527577082,822026.061196957
"182",838599.217295152,823912.260580841
"183",837752.051770686,823089.295834344
"184",840008.887230806,822863.700149097
"185",839991.495676709,823940.906490049
"186",839848.32743714,823524.364877405
"187",839751.438891378,822386.273817032
"188",838837.304136603,822555.463912132
"189",837597.797885864,822361.760186575
"190",838310.698048519,822395.771391386
"191",840042.824393007,823046.145198648
"192",838158.456906568,822550.678071856
"193",840446.186827798,823591.653565186
"194",837807.441471037,823218.016317593
"195",836993.63758169,823021.021238735
"196",837416.227431576,823339.369034323
"197",840447.083821199,822198.24525658
"198",838268.333318753,821894.701827943
"199",838653.640946121,823847.677762127
"200",837818.352466106,822148.107721239
"201",839530.980634402,823953.166624964
"202",838210.194204596,823305.670008575
"203",839766.394569171,822922.304595113
"204",839784.057687566,822749.432938958
"205",839901.419923607,823851.335674402
"206",837763.856368532,822857.871619607
"207",840737.867009492,822548.76066918
"208",840692.298347612,823573.059850715
"209",838335.49087833,823493.242457003
"210",838639.127804835,823182.195156001
"211",838268.777744193,822643.307259474
"212",840234.39807399,823453.838627144
"213",838876.591211788,822712.119485567
"214",838125.656142595,823039.203210382
"215",840510.387867203,822046.563375602
"216",839797.063397674,823021.117916627
"217",838724.903492217,822483.927933707
"218",840597.085492508,822720.239661066
"219",837031.836234718,822631.218877746
"220",839285.769659677,821997.558573864
"221",838345.544370715,822637.99965203
"222",838033.579928522,821939.700555485
"223",839451.055996721,821787.119422563
"224",837952.592385542,821812.266221725
"225",837501.617676758,823260.4421256
"226",839159.24902959,823646.646326896
"227",840240.322091478,823728.908350321
"228",837916.055808642,823632.785888951
"229",839677.801501145,822145.47833889
"230",839138.1028908,821974.348014843
"231",838813.246256629,823774.648015689
"232",840813.425677918,824291.418677095
"233",840620.355764313,823248.412623784
"234",837606.015593127,823423.85166971
"235",839552.617490869,823611.346542397
"236",840434.481030683,823057.912208586
"237",838968.324810539,823686.503938253
"238",838188.343177002,821688.146264712
"239",837490.708306675,823378.741504239
"240",836975.698620273,822714.486081951
"241",840638.05021136,824018.286703056
"242",837712.573069922,822667.392492149
"243",837778.034875766,822811.540973457
"244",838497.056121087,823516.239117942
"245",840361.499542681,822693.090714859
"246",838605.134647843,822767.114471324
"247",839765.792708742,823736.297677163
"248",838346.866641243,821763.504411532
"249",840552.881322326,823127.918653547
"250",838148.640811688,823650.569893462
"251",838690.518514406,822114.638086972
"252",840269.804666491,823819.468450432
"253",838091.748230783,822064.368106785
"254",838367.0625745,822925.977222513
"255",840631.442388995,821840.210184818
"256",837673.308526748,822771.758046027
"257",839865.884449985,821774.166834076
"258",839773.410756783,822325.38756967
"259",839071.944244446,822400.513620945
"260",838576.22721371,823704.270815742
"261",837430.753478233,822535.151096978
"262",840322.41720214,822073.484008597
"263",839364.309019329,822218.317552187
"264",838925.501520175,823244.010327954
"265",839480.191040971,823543.152059695
"266",837978.713829483,822840.225457724
"267",839679.057635891,823705.853843962
"268",840128.801434801,823681.125155407
"269",837750.907402287,821691.314450426
"270",837409.852585981,821923.510902919
"271",839541.396833649,824001.982292979
"272",838079.627619928,821866.873454264
"273",839341.16814444,822309.444693761
"274",837701.766539786,822154.857860666
"275",839668.864442317,823895.975961606
"276",837887.622248824,821805.761692591
"277",840443.473742806,823416.597208645
"278",839804.606984606,821973.863285537
"279",840672.981055661,823889.770256003
"280",838791.714333431,822365.958274344
"281",839564.6521045,823540.241367268
"282",840305.876092338,822165.366003947
"283",837434.265440885,822085.34591032
"284",840670.208049365,823991.786395757
"285",838969.312862813,822470.583538541
"286",837292.278864116,823129.973637926
"287",838578.507562892,823856.523689125
"288",838400.903065217,822723.81753617
"289",838126.396783094,823416.060593416
"290",837903.369888255,821475.012652663
"291",839610.550503347,823396.034105776
"292",839997.066758404,822258.270353511
"293",837812.65265528,822614.0284377
"294",837239.626973746,823274.135918239
"295",839906.457367845,821863.060738648
"296",838345.647711235,823557.33758082
"297",837983.557973527,822410.532383479
"298",838328.220287556,822836.129534756
"299",840408.572302007,824218.563898532
"300",840132.401808534,822221.423574737
"301",838193.797144592,823384.324103823
"302",839089.046789392,821807.627144713
"303",839959.29272785,822557.282456027
"304",840836.259580905,822550.418101783
"305",838950.143722148,823071.238074505
"306",837952.178829544,822918.549630288
"307",837602.741377129,821869.02456748
"308",839410.274456861,822901.914443511
"309",838362.406010552,822814.04467374
"310",839296.919160804,822898.177292269
"311",839896.841443683,823230.990886232
"312",840347.371064435,823085.928974702
"313",840141.885479175,823310.797343915
"314",840320.875564667,821585.61110414
"315",840385.822473941,822960.838553813
"316",838203.735618517,823502.517555575
"317",837196.800127202,822966.782404357
"318",839949.226379507,822035.107753378
"319",840105.789253416,821588.771867747
"320",838066.854384584,821448.858489749
"321",839635.114208886,824073.241435979
"322",840365.867993195,823518.51882132
"323",840250.773059145,822474.42848466
"324",839825.58332131,823389.440256215
"325",837972.346866793,822204.855312704
"326",838719.909156174,822872.702562629
"327",837891.755539573,821600.600202067
"328",840230.854750555,823501.418072848
"329",840828.368608208,822688.621137039
"330",839096.316729891,822461.672777822
"331",837652.935712143,822602.325192914
"332",838002.670703554,821538.858042463
"333",838515.354462644,822174.935159928
"334",840278.684344412,821612.454115464
"335",837130.929746553,823429.97849496
"336",840587.502343853,823254.576375545
"337",838648.165172199,822831.581584239
"338",840199.98038444,823968.345314204
"339",840080.821205047,822476.717393883
"340",838603.451226746,823738.64784089
"341",838208.657534611,822079.336210764
"342",839764.950663654,823323.61704877
"343",837812.886910737,822209.735204435
"344",839775.126557848,823687.874368887
"345",838026.68224629,822238.196516334
"346",838551.910539305,822878.511030272
"347",837573.298098885,821933.325490948
"348",837735.004225697,823018.592917522
"349",838380.54628285,823876.826629987
"350",840388.240100393,822014.897464634
"351",840630.817930941,824302.121912712
"352",837953.355474645,821977.888732857
"353",840221.873708085,822153.446547593
"354",840486.061268202,821976.49018976
"355",840054.471479756,823594.993596575
"356",840645.18208386,821716.927946264
"357",840142.373518582,823275.106443011
"358",839693.283092013,823058.341850305
"359",837660.043761393,822112.507856675
"360",839317.901084434,822387.940020699
"361",840350.175420159,822587.50889918
"362",840080.847927984,823782.107967468
"363",836842.769369089,822830.133536166
"364",839428.765419601,822953.361059277
"365",839323.933561349,823157.028541311
"366",838869.44188376,823045.735234351
"367",838255.314439553,821434.844943037
"368",840304.618270799,822584.497211327
"369",837720.1842648,822794.151132056
"370",839303.304073586,823218.42355085
"371",840115.189326399,823067.140090581
"372",838637.305888927,823058.662506936
"373",840186.544386576,823923.632200739
"374",838645.955050578,822349.024517335
"375",839819.257528123,823578.441158312
"376",838755.079368597,822694.016901634
"377",837658.800406462,823406.994652984
"378",837548.585539375,822818.833129288
"379",838916.925111644,823027.764157198
"380",840139.960267596,822418.567913495
"381",839806.543219022,822235.212192234
"382",837826.876750432,821735.864391397
"383",840918.26613533,822986.5261924
"384",838324.685304212,823077.907574204
"385",840372.105730715,823970.934947995
"386",838032.89499282,823276.543666188
"387",838275.645410408,823015.267043484
"388",839116.154681581,823405.721963598
"389",837856.171276019,821455.799350271
"390",836805.148037315,822963.296405123
"391",838165.517659142,822226.975255351
"392",840439.003802093,822377.184377139
"393",840075.50693585,821991.005940613
"394",839548.853734383,823444.685954681
"395",837536.338038123,821552.75599598
"396",839469.586590235,822114.359613071
"397",838419.250168878,822613.89876265
"398",837762.410148673,822788.658382082
"399",838063.884231598,823508.621636945
"400",836960.069050155,822868.591909473
"401",838676.264286188,822602.378623809
"402",840800.543192973,821742.105131479
"403",840824.050491381,823963.990103321
"404",840342.978289463,821963.394988959
"405",838456.920930306,821823.92343493
"406",837751.660117405,822256.197177406
"407",838117.901160555,823124.778886571
"408",838348.37170136,822056.675854653
"409",840660.727603623,823358.826718155
"410",837754.14305751,823337.290229134
"411",840937.530360594,822834.607554853
"412",839297.534777204,823060.829244273
"413",837195.635266181,822474.187515033
"414",839826.985975599,822768.739531505
"415",837249.803935312,823159.374404306
"416",839374.840583538,823500.259565418
"417",838220.238265909,822276.909767682
"418",837321.946480132,823380.08285309
"419",838724.056454501,822211.037077879
"420",840657.195402036,824077.688795184
"421",838615.41846601,821980.706962543
"422",840703.094195807,821986.925463488
"423",840599.858494871,822566.720625288
"424",839095.53571815,822648.28981565
"425",840973.41944498,822492.225515622
"426",837530.667009578,822688.296888837
"427",838262.656783763,823716.047394105
"428",839303.451375156,823900.398266964
"429",840210.695773636,821834.133294999
"430",840762.85531817,822099.153312906
"431",840424.761132241,822272.76399995
"432",839163.236195893,823550.036369737
"433",841018.919904476,822085.828225056
"434",840333.132527465,821900.406065301
"435",840419.378703115,822930.694080157
"436",839506.037867417,822529.830571026
"437",840358.23196036,822076.139050977
"438",839642.795430068,822123.974085328
"439",840220.384672264,822869.19766492
"440",840042.050737282,823252.130107256
"441",838843.603972957,823733.309365342
"442",840356.976060329,823713.937794281
"443",840292.376436563,822262.59498068
"444",836913.419259029,822927.361184135
"445",839291.97077238,822063.962661121
"446",837685.143990074,821611.069750038
"447",838478.720584303,822977.559536152
"448",839518.531299064,822960.334161351
"449",837881.39922402,822860.634257856
"450",839028.945107378,823196.895674354
"451",837266.374147951,822939.272073966
"452",838539.028697546,823734.053282176
"453",840413.474041428,821668.685044632
"454",839711.628697522,823519.017754284
"455",838620.798010526,822320.60289175
"456",840928.437291014,824341.933100042
"457",837937.60633513,822580.453718384
"458",838142.150660969,821525.657303238
"459",838637.512316146,822481.441662205
"460",840158.426118245,821485.026145329
"461",838907.747334353,823922.70499494
"462",840120.684798555,824102.675306851
"463",839113.843382493,822684.785256947
"464",838764.062283003,822759.297454988
"465",839939.52981741,821868.179952454
"466",837350.072841833,822761.75500827
"467",839605.73825746,823355.60159977
"468",839321.716994706,823541.699394449
"469",839670.450217578,822082.199726293
"470",837217.095905751,823319.832571865
"471",837595.094629216,821565.746158774
"472",836876.051587402,823236.51557123
"473",838941.007844003,821961.068007026
"474",838328.192443942,821888.943181277
"475",839461.921331599,823000.882228746
"476",838374.786742629,822072.25503115
"477",840047.112591419,823164.151010802
"478",838094.790655633,822927.678559587
"479",837822.608326121,823075.616925351
"480",839648.413899583,821805.775841792
"481",838274.152588342,822080.225750447
"482",837659.238779127,822949.578834007
"483",840022.118681507,822313.718974686
"484",838126.239933788,821964.074487384
"485",840435.444801904,824253.702436718
"486",839484.367547433,822457.833038106
"487",840150.280846847,822386.928803956
"488",840302.894035523,823515.416494559
"489",837280.675567432,823377.557210126
"490",837412.557517774,822471.854102521
"491",836787.265642124,823060.347490569
"492",838469.26138022,821694.411517044
"493",841005.961655296,822259.954897607
"494",838789.886724428,821784.806531309
"495",840840.194067273,822620.671472274
"496",838889.014098099,822815.06898349
"497",838393.12309258,821574.505547278
"498",839188.820882655,823733.453142855
"499",839595.609362,822190.233064467
"500",840177.872048513,821994.74545292
"501",838892.808736522,823839.854362668
"502",839492.177445029,822740.172070428
"503",838508.579562444,822917.061890236
"504",840889.482777436,822353.896848421
"505",839028.927899061,822862.315599924
"506",839113.145469592,823045.177599911
"507",839907.398089871,822779.419239991
"508",838685.604272649,823645.864376067
"509",838091.769617078,823807.515532299
"510",839512.232349237,822322.31056698
"511",837586.124575554,822965.620251225
"512",839227.294976571,821751.734921674
"513",836962.632432795,823168.524830795
"514",838840.144533907,821810.359886183
"515",839013.852880903,822194.458444208
"516",840649.430873268,821787.29278547
"517",839336.005925572,822758.094193793
"518",840631.873914226,823737.465570864
"519",840693.81052012,822904.190305042
"520",837443.105291634,823007.887517722
"521",837855.806686817,823296.1756247
"522",840932.570237297,822490.236502965
"523",837878.895684269,822194.677915405
"524",837949.189985741,822424.342490697
"525",840375.155759001,822823.757604797
"526",839982.28627573,823234.16382852
"527",840456.973855067,823999.967209969
"528",837339.499885626,821542.132652216
"529",838118.42447298,823166.423343235
"530",840327.255567454,822118.175126136
"531",839085.80723357,822955.769171682
"532",840215.135742791,823205.994072779
"533",840472.317415813,822104.888777236
"534",840524.288593241,823646.814818144
"535",838424.559021069,823157.79971234
"536",840725.446988504,822483.22498502
"537",836643.656177941,823294.721632488
"538",837787.637756537,823506.489011808
"539",838794.010857351,822927.641142602
"540",839481.269558629,821688.269067931
"541",839078.204670095,823010.10500521
"542",838646.669893308,823599.225183522
"543",838998.29439048,822160.799694517
"544",838510.432225212,821832.103522008
"545",840718.201935543,822636.119522415
"546",838823.96980746,823107.151366829
"547",839684.96729462,823223.551788262
"548",840836.72540366,824272.676183287
"549",840042.30866266,822206.1838752
"550",838142.384286335,823620.565209489
"551",840793.963134007,823368.783564431
"552",838123.306864533,822002.927289038
"553",839969.686467348,823764.297753743
"554",838235.701025679,823393.683666299
"555",838110.645992916,822095.999432676
"556",838578.883235726,821968.810516118
"557",840685.868409212,823416.726496836
"558",839783.444544767,822654.266833672
"559",840072.265083871,823461.506055518
"560",838746.254027543,822823.358766828
"561",839859.554505954,822273.116522458
"562",840853.358650238,823286.695921817
"563",840789.180726837,823939.556034746
"564",837053.715119189,822612.404622847
"565",838694.980925845,822217.649918037
"566",837145.321402871,822279.703172983
"567",837322.092156862,823233.014563965
"568",840755.004774569,824098.168734042
"569",840642.562111706,822716.805158974
"570",837271.925605002,823325.381836816
"571",837546.351467718,823313.465496675
"572",838879.133764847,822254.704793816
"573",838089.875544832,821594.720929553
"574",837213.138115564,823037.359182421
"575",838806.063433086,822792.008837654
"576",837999.930648854,822896.229543361
"577",837507.470979831,822652.506114156
"578",840011.88071021,823891.43151873
"579",837729.209151223,823756.215540923
"580",840801.122400787,823187.420152981
"581",838118.13695282,823475.988694574
"582",840488.199644761,823243.342005225
"583",839343.105915126,821802.821655601
"584",838340.558424436,821576.785255542
"585",837983.24710067,821855.469113024
"586",838316.513326552,822087.648885999
"587",840527.161932166,822020.417387594
"588",839017.264231243,822904.520230869
"589",838483.23921643,821876.254444652
"590",837235.839600104,822194.261057556
"591",840528.123579423,822701.036850468
"592",840338.415912856,822204.497066136
"593",839005.256115555,821912.363757672
"594",840676.764708994,824185.885445752
"595",838102.12857897,822454.471821058
"596",840090.578185842,824035.660629033
"597",839080.387413818,822720.096708897
"598",837953.428903516,823039.772713408
"599",840172.328378512,822544.29388243
"600",838829.745672283,822031.31196185
"601",840460.978538936,823155.811472719
"602",838942.327640783,823581.315407666
"603",840661.766228001,823486.402881517
"604",838759.172856564,822569.52269349
"605",839469.946050492,822610.251709906
"606",836987.449440994,823216.016283369
"607",838991.87620471,822339.621750286
"608",839295.161287843,821708.414623421
"609",838832.078684066,821860.858355976
"610",839071.867879536,822281.173537523
"611",838552.283664151,822845.698634285
"612",837747.809026061,823229.063024847
"613",838452.916224392,822794.070888717
"614",840677.711018623,822128.632162251
"615",840628.589585323,822749.401872817
"616",839202.077356851,822104.842914821
"617",838304.382763475,821552.311312603
"618",839532.368027827,821729.190048911
"619",840632.334756902,823853.981587925
"620",837052.485053642,822965.520824607
"621",838753.530115795,821936.917492182
"622",840569.9418018,822549.256453164
"623",840881.524492477,821852.073175508
"624",839513.627328288,822579.64423619
"625",840922.417834266,822203.675817183
"626",839380.393952027,822571.049349379
"627",839160.43552455,823495.997104819
"628",839770.21488687,822139.009603532
"629",839568.132648567,823360.624492458
"630",840916.203287415,823040.511657521
"631",838854.009737787,821929.720295234
"632",840201.189564334,822465.370259056
"633",838061.223893595,823253.995439444
"634",838485.477208689,822324.261033292
"635",838311.232276969,821782.402658471
"636",841009.320075715,821903.291424389
"637",840201.198921019,822198.644632875
"638",839583.049190488,821708.551685684
"639",838546.713327148,822258.366716708
"640",839361.092841848,822098.955124495
"641",840429.755009576,822521.950430589
"642",839237.636887135,823489.31869381
"643",836958.309050353,823218.471043539
"644",839416.211494188,821810.386202796
"645",840116.815795808,821986.8592215
"646",840879.730783652,824034.956602108
"647",838483.97589701,822716.271876159
"648",839273.986111455,822460.910969788
"649",840080.383188324,823306.01978519
"650",837112.978321544,822515.446075174
"651",836674.398882208,823284.78274239
"652",840373.971675774,824196.927820548
"653",840131.939534801,822556.245914305
"654",838369.136969883,822457.259991169
"655",839403.253352057,823271.596755716
"656",838892.220779152,823003.582298916
"657",840030.533963707,824069.221852069
"658",839161.166543432,821901.48638282
"659",840511.830043745,823416.052206934
"660",840130.070871787,822738.320747598
"661",837986.584128209,823715.791863969
"662",839171.413739445,822123.911091166
"663",839241.143417269,822619.669574774
"664",839945.615776153,822700.46213236
"665",840369.737809127,822202.837693919
"666",837098.248566019,823180.747224847
"667",840910.377342502,822563.382252642
"668",836862.12545749,823306.06982613
"669",838593.721854092,822718.25860784
"670",840565.073207135,824168.676635992
"671",839411.787643969,821961.265623264
"672",839464.548082855,821850.184546078
"673",838646.742615412,822297.334590954
"674",837472.887260639,821917.67960015
"675",838840.258854834,823293.665529249
"676",839930.455682063,821713.131628801
"677",838423.196427366,822522.596498056
"678",840106.25329174,824157.94890294
"679",838450.033887388,821746.735921999
"680",839303.986704801,822117.242984414
"681",837666.776812552,822231.953412647
"682",837656.476197779,821752.457234413
"683",838676.190225794,822947.86101856
"684",840526.623061699,822553.586824832
"685",837411.182972152,822401.936694889
"686",839032.298916373,823571.717663541
"687",837926.591983714,823205.412093959
"688",837266.000047279,823043.282796981
"689",841041.84810969,821839.00085039
"690",837217.660513246,822798.987398544
"691",840432.121623669,821720.987629893
"692",838586.07666934,822572.002423248
"693",838802.036962437,822183.520513824
"694",839902.032917379,823307.249049026
"695",840360.69922918,821734.36399374
"696",839728.884206783,822654.799940406
"697",839658.844921319,821982.01669233
"698",837524.12598922,822332.009030779
"699",840710.67609956,823158.298851038
"700",839279.693767356,822380.42222591
"701",839831.593637204,823860.954519727
"702",838413.626902282,823689.531735422
"703",838844.707754574,822971.130510818
"704",838201.470592501,823015.20483444
"705",840593.917050579,822749.120430285
"706",839600.30859097,823835.009000993
"707",839980.56623736,821918.981217796
"708",840887.818833933,824296.46177245
"709",838699.882663261,822187.321757612
"710",840563.134871795,824119.178097562
"711",837283.284144822,822068.139774595
"712",840137.944026641,823922.347747077
"713",837135.730685176,822178.273302729
"714",839879.812808604,824010.474425132
"715",838737.483815031,823273.925361498
"716",837775.957204863,822323.316383229
"717",840502.18949689,822904.875528835
"718",837251.718567087,822525.487961765
"719",840281.158779878,823769.681813709
"720",839757.233444712,822816.715221974
"721",839867.236463294,823257.479931089
"722",837156.663132637,823369.602727012
"723",837202.806485552,823396.684415985
"724",840130.257858085,823210.452380339
"725",837086.745721333,823391.353932382
"726",838849.069681018,823914.007083851
"727",840756.612572445,822433.226698593
"728",840469.240913891,821707.78167682
"729",837601.426609683,821947.624408579
"730",837291.774051858,821984.717827755
"731",838637.602588343,822381.768361407
"732",837446.965755663,821504.15991532
"733",840459.322146453,824270.368205158
"734",839816.853753116,822267.542365166
"735",837483.953757816,822429.944818885
"736",840713.640519399,823276.621806691
"737",840305.1989821,821539.725812151
"738",839204.122512165,823655.875319624
"739",840802.468870923,822097.741830035
"740",837549.537266251,821500.648678445
"741",837021.727667028,823315.081613907
"742",838224.498335394,823574.364961286
"743",838427.570478835,822861.371738775
"744",839755.493934168,822642.335996526
"745",840590.605129506,823356.726949029
"746",840694.768715622,823649.240697887
"747",837752.239625772,823161.490298444
"748",837644.300536543,823093.239442217
"749",840156.275111345,822844.811634754
"750",839708.161979335,823881.703158365
"751",837104.303067989,823039.039564529
"752",838244.479643074,822917.403907754
"753",838677.734625524,822539.907673503
"754",838678.369212937,822145.975798902
"755",837562.924632909,821995.734999496
"756",840485.006770622,821839.950910578
"757",840380.197165184,823795.72580056
"758",840568.167345232,822419.160147654
"759",839777.104843491,823797.735975759
"760",840467.209830321,824190.150739029
"761",840020.223256564,821656.96209308
"762",839828.112296087,822182.832314981
"763",837356.854400032,822407.28582131
"764",840345.680769781,823021.675578483
"765",840200.934332019,822929.561888318
"766",837828.381236643,821677.60699074
"767",837438.100980677,822437.36785068
"768",838919.100908081,823878.716217453
"769",837937.782863182,823505.209062058
"770",840783.042015564,822182.460709605
"771",838715.832138134,822559.885036463
"772",840000.580336459,822890.089917936
"773",839189.550662673,821773.194512532
"774",838432.082467784,822455.623515907
"775",840369.539885767,823839.520672058
"776",838866.175479515,823777.814901673
"777",840858.49839278,822370.297989894
"778",838644.445422055,822998.747214373
"779",839965.212838375,823384.999875897
"780",839332.605137067,821878.907093973
"781",838614.39867798,821915.932359048
"782",838077.564470605,823295.966568502
"783",837518.709467609,822877.279389443
"784",836694.48476695,823155.423477922
"785",839518.250770607,823050.922163249
"786",840088.237922991,821625.195708962
"787",839387.559745187,823402.197409147
"788",840675.032068469,824151.294265007
"789",838465.663383022,822295.103628339
"790",840943.352752409,822941.097713661
"791",839260.55645587,822065.614656606
"792",838474.211964024,823243.816302988
"793",838729.228860062,823075.221615047
"794",839316.202036002,823425.74186836
"795",839615.40198132,822068.703689222
"796",839999.735128205,822404.805282802
"797",837782.900917607,822761.487270181
"798",838312.825713024,822638.675361777
"799",840640.094510583,822020.772570136
"800",838892.989281917,822842.72388424
"801",839303.628450832,822820.944812861
"802",840720.06426438,823373.173059238
"803",838303.689518817,823360.900785968
"804",837903.265113368,822516.221721593
"805",837870.771019557,822538.422030143
"806",837726.017482088,822604.912715651
"807",840862.568228377,824201.831664775
"808",837699.264938,822846.695312274
"809",839134.117164963,822506.813122655
"810",837330.522827793,822567.422280866
"811",840673.329796978,822881.792948242
"812",838883.118677212,822286.80718295
"813",839678.533977189,822563.99708397
"814",838148.474161328,822387.895059315
"815",840355.301256549,822172.827970034
"816",837926.614154121,822655.200259738
"817",837320.952845931,822286.05252962
"818",838724.498433285,823453.012666827
"819",839880.781834971,822530.362742192
"820",837059.366350994,822905.479055508
"821",837882.984307908,822749.282179103
