k,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
1-AEEEPPAHPG,831105,824463,22.35929845,114.1267482
1-AEEGBPEXPK,830103,825629,22.36982476,114.1170156
1-AEEGBPWXPK,829929,825481,22.36848761,114.1153267
1-AEEPPPYSPK,830030,825937,22.3726059,114.1163056
1-AEEPWPGXPK,829926,825683,22.37031176,114.1152968
1-AEEPWPSRPK,830003,825729,22.37072745,114.1160442
1-AEESGPDAPK,830130,825628,22.36981582,114.1172777
1-AEESPPEJPK,830182,825826,22.37160405,114.1177819
1-AEESPPYXPK,829599,825771,22.37110521,114.1121214
1-AEESWPWXPK,829957,825566,22.3692553,114.1155982
1-AEEWPPGAPG,830723,825519,22.36883351,114.1230358
1-AEEYWPGYPG,830746,825589,22.36946572,114.1232589
1-AEGAGPGXPK,830238,825547,22.36908473,114.1183266
1-AEGAPPWEPG,831064,824532,22.35992143,114.1263499
1-AEGDBPWXPK,829939,825477,22.36845152,114.1154238
1-AEGDPPGXPK,829866,825636,22.3698871,114.1147144
1-AEGEBPYJPK,829599,826024,22.37338993,114.1121203
1-AEGEWPWXPK,829951,825556,22.36916498,114.11554
1-AEGGGPSAPK,830050,825761,22.3710166,114.1165004
1-AEGGPPKSPK,829928,825897,22.3722443,114.1153153
1-AEGGWPBAPG,831134,824569,22.36025578,114.1270294
1-AEGKGPEXPK,830059,825553,22.36913828,114.1165886
1-AEGKPPEVPD,832077,825101,22.36506258,114.1361834
1-AEGPGPPXPB,831959,825383,22.3676089,114.135037
1-AEGSBPDSPK,830152,825856,22.37187486,114.1174905
1-AEGSWPGXPK,829928,825676,22.37024856,114.1153162
1-AEGWGPAXPK,829936,825492,22.36858697,114.1153946
1-AEGYGPDXPK,,,Invalid Input,
1-AEGYPPGSPG,830719,825506,22.3687161,114.122997
1-AEGYWPBJPG,831077,824517,22.35978602,114.1264762
1-AEKAWPWXPD,832251,825708,22.37054453,114.1378713
1-AEKDBPDXPK,830171,825623,22.36977082,114.1176758
1-AEKDGPEXPK,830046,825531,22.36893956,114.1164625
1-AEKDPPPEPK,830264,825830,22.37164047,114.118578
1-AEKGGPSHPK,830062,825766,22.37106179,114.1166169
1-AEKKGPYJPK,830482,825603,22.36959128,114.1206955
1-AEKKGPYXPK,830401,825651,22.37002447,114.1199089
1-AEKPGPEXPK,830074,825580,22.36938216,114.1167342
1-AEKPGPWXPK,829950,825467,22.36836126,114.1155307
1-AEKPPPYHPK,829955,825885,22.37213604,114.1155775
1-AEKSWPWJPD,832402,825422,22.36796215,114.1393381
1-AEKYPPPXPK,830193,825904,22.37230847,114.1178884
1-AEPAWPGXPK,829936,825672,22.37021246,114.1153939
1-AEPDGPGXPG,830755,825572,22.36931223,114.1233463
1-AEPDGPSOPK,830029,825726,22.37070045,114.1162967
1-AEPDWPDOPG,830695,825502,22.3686799,114.122764
1-AEPEPPWVPG,831115,824582,22.36037312,114.1268449
1-AEPEPPYAPK,830046,825711,22.37056506,114.1164618
1-AEPEPPYXPK,830094,825721,22.37065553,114.1169278
1-AEPGGPEXPK,830053,825543,22.36904795,114.1165304
1-AEPGPPKRPK,830042,825802,22.37138682,114.1164226
1-AEPKBPDHPK,830169,825844,22.37176656,114.1176556
1-AEPPPPDXPK,829980,825646,22.36997783,114.1158212
1-AEPPWAPEPG,831249,824534,22.35994005,114.128146
1-AEPPWBPXPK,830135,825547,22.36908437,114.1173266
1-AEPPWDPXPK,829919,825636,22.3698873,114.115229
1-AEPPWEPEPK,830239,825236,22.36627624,114.1183375
1-AEPPWGPXPK,830142,825904,22.37230829,114.1173932
1-AEPPWKPAPK,830187,825262,22.36651085,114.1178326
1-AEPPWKPXPK,829874,825650,22.37001356,114.114792
1-AEPPWPPEPA,827721,825530,22.36892054,114.0938882
1-AEPPWWPXPB,831714,825786,22.37124758,114.132657
1-AEPSBPEVPK,830124,825652,22.37003254,114.1172194
1-AEPSBPGXPK,830019,825665,22.37014955,114.1161998
1-AEPSGPDVPK,830134,825625,22.36978875,114.1173166
1-AEPSPPYAPK,829513,825821,22.3715564,114.1112862
1-AEPWWPYXPG,831226,824591,22.36045472,114.1279226
1-AEPYGPSXPK,830018,825701,22.37047465,114.11619
1-AESABPYEPK,829936,825911,22.37237076,114.115393
1-AESABPYHPK,829941,825924,22.37248818,114.1154415
1-AESAPPESPK,830125,825735,22.37078207,114.1172288
1-AESBWPGXPK,829951,825668,22.3701764,114.1155396
1-AESEWPWXPD,832426,825476,22.36844985,114.139571
1-AESEWPWYPD,832422,825507,22.36872979,114.1395321
1-AESGBPBXPK,830354,825871,22.37201103,114.1194517
1-AESGBPBYPK,830374,825826,22.37160472,114.1196461
1-AESGGPAXPK,829911,825509,22.36874039,114.1151518
1-AESGPPKRPK,830097,825763,22.37103483,114.1169568
1-AESGPPKXPK,830067,825780,22.37118824,114.1166654
1-AESKGPSEPK,829976,825918,22.37243412,114.1157813
1-AESKPPSXPK,830237,825965,22.37285949,114.1183154
1-AESPWPSEEK,830033,825782,22.37120618,114.1163353
1-AESPWPSESK,830023,825764,22.37104359,114.1162383
1-AESPWPSJPK,830011,825739,22.37081778,114.1161219
1-AESSBPAJPG,831707,825415,22.36789723,114.1325901
1-AESSPPYXPK,829546,825797,22.3713398,114.1116067
1-AESYGPEXPK,830044,825527,22.36890343,114.1164431
1-AESYGPKXPK,830315,825496,22.36862444,114.1190745
1-AEWAGPEXPK,830062,825559,22.36919247,114.1166177
1-AEWAPPESPK,830111,825710,22.37055626,114.1170929
1-AEWBGPBYPB,831990,825327,22.36710327,114.1353381
1-AEWBGPSXPK,830116,825869,22.37199213,114.1171409
1-AEWEBPYYPK,829554,825939,22.37262216,114.1116838
1-AEWGBPGXPK,830135,825601,22.36957202,114.1173264
1-AEWGBPWXPK,829932,825475,22.36843343,114.1153559
1-AEWGGPBJPB,831989,825343,22.36724776,114.1353284
1-AEWPBPDVPK,830089,825893,22.37220877,114.1168786
1-AEWPBPYEPK,829544,826066,22.373769,114.1115861
1-AEWPPPEXPK,830183,825833,22.37166727,114.1177915
1-AEWSBPARPG,831751,825498,22.36864688,114.1330171
1-AEWSWPWXPK,829954,825561,22.36921014,114.1155691
1-AEWWPPGAPG,830764,825583,22.3694116,114.1234337
1-AEWYGPAXPK,829933,825497,22.36863211,114.1153655
1-AEWYGPKAPK,830008,825947,22.37269612,114.1160919
1-AEWYGPKEPK,829931,825938,22.37261457,114.1153443
1-AEWYGPKJPK,829947,825947,22.3726959,114.1154996
1-AEYABPYEEK,830172,825827,22.37161305,114.1176848
1-AEYABPYXEK,830159,825836,22.37169428,114.1175585
1-AEYABPYXSK,830156,825840,22.37173039,114.1175294
1-AEYDWPYOPG,831273,824556,22.36013879,114.128379
1-AEYEBPDOPK,830161,825848,22.37180265,114.1175779
1-AEYEPPDXPK,829989,825642,22.36994174,114.1159086
1-AEYGGPSSPK,830042,825733,22.37076371,114.1164229
1-AEYKPPEYPD,832059,825092,22.36498126,114.1360087
1-AEYPBPYXPK,829588,826042,22.37355244,114.1120135
1-AEYSWPWXPD,832370,825352,22.36732994,114.1390276
1-AEYSWPWYPD,832393,825336,22.3671855,114.1392509
1-AEYWPPGXPG,830761,825578,22.36936644,114.1234046
1-AEYYGPEXPK,830041,825521,22.36884924,114.116414
1-AEYYGPGHPK,830315,825496,22.36862444,114.1190745
1-AEYYGPKAPK,829920,825918,22.37243392,114.1152376
1-AEYYGPKEPK,829901,825906,22.37232548,114.1150531
1-AKBDGPSXPP,824625,825345,22.36723169,114.0638293
1-BDAGGPGXPS,831267,840415,22.50335293,114.1282709
1-BDAGPPEXPS,831232,840760,22.50646831,114.1279297
1-BDAKBPDXPB,841161,845057,22.54527217,114.2244426
1-BDAYBPKXPS,831127,840830,22.50710013,114.1269089
1-BDBABPDXPB,841025,845071,22.54539898,114.2231205
1-BDBAPPDXPS,831410,840544,22.50451826,114.1296603
1-BDBBPPDXPS,831423,840530,22.50439188,114.1297867
1-BDBDWPGXPS,831345,840613,22.50514117,114.1290284
1-BDBGGPBEPS,831182,840682,22.50576379,114.127444
1-BDBGGPKXPS,831112,840664,22.50560104,114.1267637
1-BDBGPPDXPS,831428,840523,22.50432868,114.1298353
1-BDBKPPDXPS,831416,840537,22.50445507,114.1297186
1-BDBWPPDXPS,831449,840504,22.50415716,114.1300395
1-BDBYPPDXPS,831442,840511,22.50422035,114.1299714
1-BDDBGPAXPS,831414,840489,22.5040216,114.1296993
1-BDDPWPAXPS,831374,840490,22.50403052,114.1293106
1-BDDSGPKXPS,831120,840757,22.50644089,114.1268412
1-BDEAGPAXPS,831423,840495,22.50407581,114.1297868
1-BDEAWPAXPS,831367,840483,22.50396729,114.1292426
1-BDEBBPDXPS,831156,840539,22.50447237,114.1271917
1-BDEEGPKXES,831119,840740,22.50628737,114.1268315
1-BDEEGPKXSS,831119,840740,22.50628737,114.1268315
1-BDEPBPDXPS,831187,840530,22.50439119,114.127493
1-BDEYGPAXPS,831408,840483,22.50396741,114.1296411
1-BDGAGPKYPS,831117,840720,22.50610675,114.1268121
1-BDGBPPEXPS,831223,840770,22.50655859,114.1278422
1-BDGEWPKXPS,831290,840551,22.50458113,114.128494
1-BDGKBPDXEB,841127,845078,22.54546191,114.2241122
1-BDGKBPDXSB,841141,845060,22.54529932,114.2242482
1-BDGYGPKJPS,831097,840490,22.5040297,114.1266185
1-BDKBBPKXPS,831124,840445,22.50362342,114.126881
1-BDKDBPKXPS,831119,840399,22.50320801,114.1268326
1-BDKDGPKXPS,831105,840612,22.50513144,114.1266958
1-BDKEBPEXPS,831285,840392,22.50314529,114.1284459
1-BDKGGPKYPS,831112,840664,22.50560104,114.1267637
1-BDKKGPAYPS,831417,840493,22.50405773,114.1297285
1-BDKKWPAYPS,831363,840479,22.50393116,114.1292037
1-BDKPGPKXPS,831125,840793,22.506766,114.1268896
1-BDKWWPGXPS,831360,840598,22.50500576,114.1291742
1-BDPAPPDXPS,831407,840547,22.50454535,114.1296311
1-BDPBGPGXPS,831267,840415,22.50335293,114.1282709
1-BDPBPPDXPS,831420,840533,22.50441896,114.1297575
1-BDPBWPKYPS,831305,840536,22.50444572,114.1286399
1-BDPDPPDXPS,831433,840520,22.5043016,114.1298839
1-BDPDWPGXPS,831341,840616,22.50516825,114.1289895
1-BDPEPPBAPS,831226,840581,22.50485186,114.1278719
1-BDPGPPDXPS,831426,840526,22.50435576,114.1298159
1-BDPKPPDXPS,831415,840540,22.50448216,114.1297089
1-BDPKWPKXPS,831296,840543,22.50450891,114.1285524
1-BDPPBPPXPS,831244,840540,22.50448166,114.128047
1-BDPPPPDXPS,831365,840591,22.50494256,114.1292228
1-BDPWPPDXPS,831446,840507,22.50418424,114.1300103
1-BDPWWPGXPS,831355,840603,22.5050509,114.1291256
1-BDPYPPDXPS,831440,840514,22.50424744,114.129952
1-BDSABPKYPS,831133,840519,22.50429169,114.1269683
1-BDSDBPKYPS,831124,840418,22.5033796,114.1268811
1-BDSGBPKYPS,831124,840445,22.50362342,114.126881
1-BDSKBPKYPS,831125,840476,22.50390336,114.1268907
1-BDSPGPAXPA,831962,840299,22.5023073,114.1350258
1-BDSSGPKYPS,831126,840776,22.50661248,114.1268994
1-BDSWBPKYPS,831127,840821,22.50701885,114.126909
1-BDSYBPKXPS,831137,840847,22.50725367,114.1270061
1-BDWABPDXPB,840947,845067,22.54536308,114.2223622
1-BDWBBPKXPS,831124,840445,22.50362342,114.126881
1-BDWEBPEXPS,831280,840389,22.50311818,114.1283973
1-BDWEWPKYPS,831290,840551,22.50458113,114.128494
1-BDWGGPAYPS,831410,840486,22.5039945,114.1296605
1-BDWSWPAYPS,831371,840486,22.50399439,114.1292814
1-BDWYBPKXPS,831127,840826,22.507064,114.126909
1-BDYDPPEXPS,831245,840744,22.50632386,114.1280561
1-BDYGWPKXPS,,,Invalid Input,
1-BEPPWDPEPD,821227,833868,22.44417198,114.0307568
1-BEPPWDPEPW,821120,833058,22.43685639,114.0297251
1-BEPPWKPSPK,820974,834608,22.45085225,114.0282919
1-BESPWYPXPW,821238,833180,22.43795914,114.0308702
1-BGAKGPSEPS,815920,827701,22.38842642,113.9792803
1-BGAKGPSXPS,815930,827736,22.38874261,113.979377
1-BGAKGPSYPS,815831,829278,22.40266639,113.9783958
1-BGAPWPGXPS,815612,828852,22.3988168,113.9762745
1-BGBBGPYXPS,815460,828566,22.39623225,113.9748021
1-BGBDPPWXPS,815556,828474,22.39540261,113.9757356
1-BGBKGPSVPS,815704,828644,22.39693957,113.9771706
1-BGBYBPAXPS,815456,828715,22.39757774,113.9747613
1-BGDAGPYXPS,815458,828545,22.39604259,113.974783
1-BGDDGPDXPS,815472,828486,22.39550996,113.9749197
1-BGDKGPSXPS,815682,828796,22.39831193,113.976955
1-BGDWPPWVPS,815705,828461,22.39528701,113.9771827
1-BGEKGPSAPS,815726,828483,22.39548593,113.9773864
1-BGEKGPSEPS,816000,827740,22.38877956,113.9800567
1-BGEKGPSJPS,815970,827792,22.38924879,113.9797647
1-BGEKGPSOPS,815904,827653,22.38799277,113.9791255
1-BGEKGPSRPS,815858,827767,22.3890217,113.9786774
1-BGEKGPSSPS,815871,827732,22.38870579,113.9788041
1-BGEKGPSVPS,815993,827701,22.38842729,113.9799892
1-BGEKGPSXPS,815716,828574,22.39630758,113.9772881
1-BGGKGPSJPS,815687,828718,22.39760762,113.9770046
1-BGGKGPSXPS,815698,828681,22.39727362,113.9771119
1-BGKKWPYXPS,815520,828482,22.39547442,113.9753859
1-BGPKGPSOES,815809,829169,22.40168181,113.9781836
1-BGPKGPSOSS,815813,829183,22.40180829,113.9782222
1-BGPKGPSSES,815822,829219,22.40213349,113.9783092
1-BGPKGPSSSS,815772,829196,22.40192519,113.9778239
1-BGPKGPSVPS,815761,829137,22.40139226,113.9777178
1-BGPPWAPXPS,815859,829460,22.40431027,113.9786654
1-BGPPWDPXPE,814731,829832,22.40765579,113.9677055
1-BGPPWSPXPS,815580,828426,22.39496944,113.9759693
1-BGPSWPYXPS,815569,828508,22.3957098,113.9758614
1-BGSKBPYXPS,815454,828479,22.39544653,113.974745
1-BGSKGPSAPS,815811,829341,22.40323507,113.9782008
1-BGSKGPSHES,815804,829292,22.4027925,113.9781334
1-BGSKGPSHSS,815777,829222,22.40216004,113.9778721
1-BGSKGPSJPS,815742,829097,22.40103082,113.9775338
1-BGSKGPSOPS,815881,829311,22.40296499,113.978881
1-BGSKGPSRPS,815845,829395,22.40372312,113.9785303
1-BGSKGPSSPS,815885,829352,22.40333529,113.9789193
1-BGSKGPSVPS,815816,829399,22.4037589,113.9782486
1-BGSKGPSXAS,815808,829158,22.40158246,113.978174
1-BGSKGPSXES,815778,829094,22.40100416,113.9778835
1-BGSKGPSXSS,815801,829128,22.40131147,113.9781064
1-BGSKGPSYES,815807,829310,22.40295508,113.9781624
1-BGSKGPSYSS,815894,829396,22.40373274,113.9790062
1-BGSWGPYXPS,815468,828591,22.39645811,113.9748795
1-BGSYWPEJPS,815552,828418,22.39489686,113.9756975
1-BGWAGPSXPS,815782,829256,22.40246714,113.9779203
1-BGWWPPWXPS,815675,828488,22.39553047,113.976891
1-BGYAGPSRPS,815911,829434,22.40407609,113.9791708
1-BSPBWPKXPP,818891,834833,22.4528642,114.008053
1-BSPPWSPXPG,817601,832718,22.43375129,113.9955452
1-BWAGWPKVPS,820611,834071,22.44599963,114.0247706
1-BWAKGPBXPS,820770,834005,22.44540507,114.0263159
1-BWAKPPAJPS,820833,833724,22.44286809,114.0269307
1-BWAYGPKXPS,820494,833625,22.44197099,114.0236384
1-BWBEGPAXPS,821295,833671,22.44239358,114.0314193
1-BWBEPPYXPS,820662,833865,22.44413983,114.0252681
1-BWBGPPKXPS,820445,834202,22.44718109,114.0231567
1-BWBKGPBJPS,821177,833974,22.44512877,114.0302701
1-BWBPPPAAPS,820752,833679,22.44246099,114.0261442
1-BWBWBPYXPS,820737,833624,22.44196418,114.025999
1-BWBWGPDXPS,820932,834066,22.44595739,114.0278891
1-BWBYPPYXPS,820588,833871,22.44419334,114.0245491
1-BWBYWPEXPS,821059,833731,22.44293333,114.0291261
1-BWDAPPKOPS,820671,833668,22.44236092,114.0253575
1-BWDAWPKJPS,821068,834064,22.44594054,114.0292103
1-BWDBPPARPS,820741,833726,22.44288532,114.0260369
1-BWDEWPPXPS,820906,834035,22.44567721,114.0276368
1-BWDGBPSXPS,820930,833774,22.44332049,114.0278725
1-BWDGPPAJPS,820627,833724,22.44286622,114.0249295
1-BWDGPPBYPS,820380,834106,22.44631357,114.0225262
1-BWDKGPBRPS,821171,833938,22.44480362,114.0302121
1-BWDKGPBYES,821265,834025,22.44559009,114.0311245
1-BWDKGPBYSS,821267,833951,22.44492186,114.0311446
1-BWDSPPBEPS,820686,834099,22.44625317,114.0254989
1-BWEAGPBEPS,820914,833946,22.44487358,114.0277154
1-BWEAPPYXPS,820633,833867,22.44415763,114.0249863
1-BWEBWPKEPS,820770,834068,22.44597399,114.0263153
1-BWEEBPEXPS,821074,833626,22.44198527,114.0292728
1-BWEGBPSXPS,820916,833772,22.4433023,114.0277365
1-BWEGPPAAPS,820666,833710,22.44274015,114.0253085
1-BWEGPPAJPS,820778,833583,22.44159431,114.0263977
1-BWEGPPAXPS,820795,833632,22.44203695,114.0265624
1-BWEKPPBRPS,820346,834067,22.44596106,114.0221963
1-BWEKPPKEPS,820666,833631,22.44202675,114.0253092
1-BWEPPPGYPS,821218,834002,22.44538198,114.0306681
1-BWESWPBSPS,821183,834023,22.44557131,114.0303279
1-BWEWBPYXPS,820959,833848,22.443989,114.0281535
1-BWGAPPAAPS,820942,833722,22.44285101,114.0279896
1-BWGAPPASPS,820911,833723,22.44285976,114.0276884
1-BWGAWPKYPS,821106,834039,22.44571512,114.0295797
1-BWGBWPKHPS,820679,834069,22.44598219,114.0254312
1-BWGDGPSEPS,820847,833772,22.44330168,114.0270662
1-BWGEWPBXPS,821202,834031,22.44564372,114.0305124
1-BWGYGPDJPS,820935,834046,22.44577681,114.0279184
1-BWGYPPAYPS,820541,833721,22.44283834,114.024094
1-BWKAPPBEPS,820455,834098,22.44624202,114.0232549
1-BWKBPPAHPS,820768,833725,22.44287654,114.0262992
1-BWKDPPAAPS,820583,833722,22.44284776,114.024502
1-BWKEPPBRPS,820588,834104,22.44629743,114.0245469
1-BWKEPPKXPS,820307,834112,22.44636707,114.0218169
1-BWKKWPKYPS,821011,834065,22.44594906,114.0286566
1-BWKPPPBRPS,821055,834092,22.44619328,114.0290838
1-BWPAPPBSPS,820525,834098,22.44624266,114.0239349
1-BWPBBPAJPS,821178,833559,22.44138115,114.0302837
1-BWPBBPAXPS,821179,833569,22.44147146,114.0302933
1-BWPBWPKOPS,820814,834069,22.44598342,114.0267427
1-BWPBWPKRPS,820866,834036,22.44568588,114.0272482
1-BWPBWPKSES,820871,834067,22.44596587,114.0272965
1-BWPBWPKSSS,820883,834036,22.44568603,114.0274134
1-BWPBWPKVPS,820887,834067,22.44596601,114.0274519
1-BWPBWPKYPS,820830,834069,22.44598356,114.0268982
1-BWPGPPAXES,820738,833707,22.44271372,114.0260079
1-BWPGPPAXSS,820796,833704,22.44268715,114.0265714
1-BWPKGPBXPS,820781,833948,22.44489044,114.0264233
1-BWPKPPASPS,820874,833723,22.44285943,114.027329
1-BWPKWPKXPS,821045,834062,22.44592227,114.0289869
1-BWPPBPSAPS,820896,833853,22.44403358,114.0275414
1-BWPPBPSXPS,820881,833857,22.44406957,114.0273957
1-BWPPPPBEPS,821085,834091,22.44618451,114.0293752
1-BWPPWPEJPS,821106,833714,22.44278023,114.0295828
1-BWPSBPSOPS,820881,833808,22.44362708,114.0273961
1-BWPWGPKXPS,820500,833659,22.44227808,114.0236964
1-BWPWPPYXPS,820741,833585,22.44161203,114.0260383
1-BWPYGPKXPS,820481,833660,22.44228693,114.0235118
1-BWPYPPKXES,820264,834179,22.44697171,114.0213985
1-BWPYPPKXSS,820366,834220,22.4473429,114.022389
1-BWSBPPARPS,820798,833725,22.44287681,114.0265906
1-BWSBWPKHPS,820788,834069,22.44598318,114.0264901
1-BWSGPPAOPS,820787,833676,22.44243422,114.0264843
1-BWSSBPSYPS,820899,833774,22.44332021,114.0275713
1-BWWAGPBXPS,820836,833949,22.44489996,114.0269576
1-BWWBWPKXPS,820611,834071,22.44599963,114.0247706
1-BWWGBPBXPS,820988,833956,22.44496454,114.0284342
1-BWWGPPBYPS,820528,834116,22.44640524,114.0239638
1-BWWKGPBEPS,821185,833945,22.44486696,114.0303481
1-BWWKGPBXPS,821235,833936,22.44478612,114.0308339
1-BWWKWPKVPS,820906,834065,22.44594812,114.0276365
1-BWWSBPEXPS,821107,833626,22.44198556,114.0295934
1-BWWSGPAXPS,821316,833680,22.44247504,114.0316232
1-BWWWPPARPS,820491,833726,22.44288303,114.0236083
1-BWWYBPYAPS,820968,833771,22.44329373,114.0282417
1-BWWYBPYYPS,820950,833772,22.4433026,114.0280668
1-BWYAPPKEPS,820666,833655,22.44224348,114.025309
1-BWYGPPAJPS,820604,833724,22.44286601,114.024706
1-BWYKWPKRPS,820920,834066,22.44595728,114.0277725
1-BWYPWPBXPS,821180,834017,22.4455171,114.0302988
1-BWYSPPBRPS,820670,834096,22.44622593,114.0253435
1-BWYWGPSRPS,821129,833817,22.44371057,114.0298053
1-BYAKGPKJPS,832753,839998,22.49959097,114.1427139
1-BYBBWPGXPS,832741,839976,22.49939227,114.1425973
1-BYBDWPGXPS,832723,839992,22.49953672,114.1424224
1-BYBGWPGXPS,832733,839985,22.49947353,114.1425196
1-BYBKWPGXPS,832749,839969,22.49932908,114.1426751
1-BYBPWPGAPS,832818,839917,22.49885964,114.1433458
1-BYBPWPGRPS,832806,839917,22.49885961,114.1432292
1-BYBPWPGXPS,832825,839910,22.49879644,114.1434138
1-BYBSGPKSPS,832819,839928,22.49895897,114.1433555
1-BYBYWPGXPS,832714,840000,22.49960895,114.1423349
1-BYDBGPKRPS,832736,840015,22.49974445,114.1425487
1-BYEAGPKAPS,832768,839988,22.49950069,114.1428597
1-BYEEWPBXPS,832658,839902,22.49872385,114.1417909
1-BYEPWPBXPS,832679,839882,22.49854329,114.141995
1-BYGEWPBXPS,832651,839905,22.49875093,114.1417228
1-BYGKGPKSPS,832750,840003,22.49963611,114.1426847
1-BYGPWPBXPS,832672,839885,22.49857036,114.141927
1-BYKAWPBXPS,832643,839912,22.49881412,114.1416451
1-BYKBGPKXPS,832741,840010,22.49969931,114.1425973
1-BYPAWPBXPS,832648,839909,22.49878704,114.1416937
1-BYPBGPKAPS,832745,840006,22.49966319,114.1426361
1-BYPBWPGXPS,832744,839971,22.49934713,114.1426265
1-BYPBWPYXPS,832661,839975,22.49938308,114.1418199
1-BYPDWPGXPS,832728,839988,22.49950061,114.142471
1-BYPEWPYXPS,832657,839971,22.49934695,114.141781
1-BYPKPPWXPS,832674,839989,22.49950953,114.1419462
1-BYPKWPGXPS,832753,839964,22.49928393,114.142714
1-BYPSGPKSPS,832833,839917,22.49885967,114.1434916
1-BYPSPPWXPS,832670,839983,22.49945534,114.1419073
1-BYPSWPBXPS,832671,839890,22.49861551,114.1419172
1-BYPYWPGXPS,832718,839997,22.49958186,114.1423738
1-BYPYWPYXPS,832664,839980,22.49942823,114.141849
1-BYSGGPKJPS,832732,840020,22.49978959,114.1425098
1-BYWAGPKRPS,832758,839994,22.49955485,114.1427625
1-BYYEGPKSPS,832770,839983,22.49945555,114.1428792
1-BYYSWPBXPS,832661,839897,22.4986787,114.14182
1-CJRRQRSXRD,821846,816397,22.28640517,114.0369278
1-CJVDURDXSD,822254,815880,22.28173971,114.0408915
1-CUCOQRVXRR,821136,807636,22.20728161,114.0301207
1-DBKPWDPEPA,838242,828576,22.39644762,114.1960445
1-DBPPWBPAPK,835912,826575,22.37837866,114.1734176
1-DBPPWDPAPK,835755,826388,22.37668991,114.1718932
1-DBPPWPPRPB,841173,830819,22.41669714,114.2245153
1-DBPPWSPXPB,838313,826852,22.38087893,114.1967318
1-DCCCQRQXRO,835346,834224,22.44745267,114.1679173
1-DCDCQROHRO,835001,834347,22.4485632,114.1645656
1-DCDFFRJXRO,835157,834354,22.44862652,114.1660811
1-DCDQURQXRO,835298,834277,22.44793126,114.167451
